"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Norfolk City Public Schools","Black","Matthew Fontaine Maury High",89.2,91
"Norfolk City Public Schools","Economically Disadvantaged","Matthew Fontaine Maury High",91.2,92.3
"Norfolk City Public Schools","Female","Matthew Fontaine Maury High",94.2,96.7
"Norfolk City Public Schools","Hispanic","Matthew Fontaine Maury High",100,100
"Norfolk City Public Schools","Male","Matthew Fontaine Maury High",90.1,93.2
"Norfolk City Public Schools","Military Connected","Matthew Fontaine Maury High",94.2,100
"Norfolk City Public Schools","Multiple Races","Matthew Fontaine Maury High",86.7,100
"Norfolk City Public Schools","Students with Disabilities","Matthew Fontaine Maury High",94,96
"Norfolk City Public Schools","White","Matthew Fontaine Maury High",97.2,99.3
"Norfolk City Public Schools","All Students","Norview High",86.2,89.5
"Norfolk City Public Schools","Asian","Norview High",100,100
"Norfolk City Public Schools","Black","Norview High",85.9,90.5
"Norfolk City Public Schools","Economically Disadvantaged","Norview High",89.9,92.7
"Norfolk City Public Schools","English Learners","Norview High",66.7,66.7
"Norfolk City Public Schools","Female","Norview High",89.8,90.9
"Norfolk City Public Schools","Hispanic","Norview High",77.8,81
"Norfolk City Public Schools","Male","Norview High",82.4,88
"Norfolk City Public Schools","Military Connected","Norview High",93.4,98.4
"Norfolk City Public Schools","Multiple Races","Norview High",86.7,86.7
"Norfolk City Public Schools","Students with Disabilities","Norview High",93.1,93.1
"Norfolk City Public Schools","White","Norview High",88.6,90.5
"Northampton County Public Schools","All Students","Northampton High",89.5,93.3
"Northampton County Public Schools","Black","Northampton High",86.5,92.3
"Northampton County Public Schools","Economically Disadvantaged","Northampton High",86.6,91.5
"Northampton County Public Schools","Female","Northampton High",93.8,93.8
"Northampton County Public Schools","Hispanic","Northampton High",84,88
"Northampton County Public Schools","Male","Northampton High",86,93
"Northampton County Public Schools","Students with Disabilities","Northampton High",57.1,85.7
"Northampton County Public Schools","White","Northampton High",100,100
"Northumberland County Public Schools","All Students","Northumberland High",97.2,97.2
"Northumberland County Public Schools","Black","Northumberland High",95.6,95.6
"Northumberland County Public Schools","Economically Disadvantaged","Northumberland High",96,96
"Northumberland County Public Schools","Female","Northumberland High",100,100
"Northumberland County Public Schools","Male","Northumberland High",94.8,94.8
"Northumberland County Public Schools","Students with Disabilities","Northumberland High",96.3,96.3
"Northumberland County Public Schools","White","Northumberland High",98.2,98.2
"Norton City Public Schools","All Students","J.I. Burton High ",100,100
"Norton City Public Schools","Economically Disadvantaged","J.I. Burton High ",100,100
"Norton City Public Schools","Female","J.I. Burton High ",100,100
"Norton City Public Schools","Male","J.I. Burton High ",100,100
"Norton City Public Schools","White","J.I. Burton High ",100,100
"Nottoway County Public Schools","All Students","Nottoway High",90,90
"Nottoway County Public Schools","Black","Nottoway High",90.8,90.8
"Nottoway County Public Schools","Economically Disadvantaged","Nottoway High",87.5,87.5
"Nottoway County Public Schools","Female","Nottoway High",98.7,98.7
"Nottoway County Public Schools","Male","Nottoway High",81.3,81.3
"Nottoway County Public Schools","Students with Disabilities","Nottoway High",88.2,88.2
"Nottoway County Public Schools","White","Nottoway High",94.3,94.3
"Orange County Public Schools","All Students","Orange County High ",95,97.3
"Orange County Public Schools","Black","Orange County High ",96.3,98.1
"Orange County Public Schools","Economically Disadvantaged","Orange County High ",91.1,95.3
"Orange County Public Schools","Female","Orange County High ",95.8,97.9
"Orange County Public Schools","Hispanic","Orange County High ",90.7,93
"Orange County Public Schools","Male","Orange County High ",94.3,96.7
"Orange County Public Schools","Multiple Races","Orange County High ",86.2,93.1
"Orange County Public Schools","Students with Disabilities","Orange County High ",93.8,93.8
"Orange County Public Schools","White","Orange County High ",96.3,98.1
"Page County Public Schools","All Students","Luray High",97.7,98.4
"Page County Public Schools","Economically Disadvantaged","Luray High",97.5,98.8
"Page County Public Schools","Female","Luray High",100,100
"Page County Public Schools","Male","Luray High",95.9,97.3
"Page County Public Schools","White","Luray High",98.2,99.1
"Page County Public Schools","All Students","Page County High",100,100
"Page County Public Schools","Economically Disadvantaged","Page County High",100,100
"Page County Public Schools","Female","Page County High",100,100
"Page County Public Schools","Male","Page County High",100,100
"Page County Public Schools","White","Page County High",100,100
"Patrick County Public Schools","All Students","Patrick County High",92.8,96.1
"Patrick County Public Schools","Black","Patrick County High",100,100
"Patrick County Public Schools","Economically Disadvantaged","Patrick County High",94.6,97.3
"Patrick County Public Schools","Female","Patrick County High",95.8,98.6
"Patrick County Public Schools","Hispanic","Patrick County High",80,86.7
"Patrick County Public Schools","Male","Patrick County High",90,93.8
"Patrick County Public Schools","Students with Disabilities","Patrick County High",100,100
"Patrick County Public Schools","White","Patrick County High",94,97.4
"Petersburg City Public Schools","All Students","Petersburg High",86.5,86.9
"Petersburg City Public Schools","Black","Petersburg High",89.4,89.4
"Petersburg City Public Schools","Economically Disadvantaged","Petersburg High",87.3,87.3
"Petersburg City Public Schools","Female","Petersburg High",90.1,90.1
"Petersburg City Public Schools","Hispanic","Petersburg High",60,60
"Petersburg City Public Schools","Homeless","Petersburg High",76.9,76.9
"Petersburg City Public Schools","Male","Petersburg High",82.8,83.6
"Petersburg City Public Schools","Students with Disabilities","Petersburg High",94.9,94.9
"Petersburg City Public Schools","White","Petersburg High",63.6,72.7
"Pittsylvania County Public Schools","All Students","Chatham High",91.2,91.8
"Pittsylvania County Public Schools","Black","Chatham High",91.2,91.2
"Pittsylvania County Public Schools","Economically Disadvantaged","Chatham High",88.5,89.7
"Pittsylvania County Public Schools","Female","Chatham High",94.8,94.8
"Pittsylvania County Public Schools","Hispanic","Chatham High",90,90
"Pittsylvania County Public Schools","Male","Chatham High",87.8,89
"Pittsylvania County Public Schools","Students with Disabilities","Chatham High",89.3,89.3
"Pittsylvania County Public Schools","White","Chatham High",91,91.9
"Pittsylvania County Public Schools","All Students","Dan River High",88.9,88.9
"Pittsylvania County Public Schools","Black","Dan River High",88.7,88.7
"Pittsylvania County Public Schools","Economically Disadvantaged","Dan River High",83.2,83.2
"Pittsylvania County Public Schools","Female","Dan River High",91.5,91.5
"Pittsylvania County Public Schools","Male","Dan River High",86,86
"Pittsylvania County Public Schools","Students with Disabilities","Dan River High",79.3,79.3
"Pittsylvania County Public Schools","White","Dan River High",89.8,89.8
"Pittsylvania County Public Schools","All Students","Gretna High",89.2,89.8
"Pittsylvania County Public Schools","Black","Gretna High",98,98
"Pittsylvania County Public Schools","Economically Disadvantaged","Gretna High",87.7,88.7
"Pittsylvania County Public Schools","Female","Gretna High",90.7,90.7
"Pittsylvania County Public Schools","Male","Gretna High",87.9,89
"Pittsylvania County Public Schools","Students with Disabilities","Gretna High",83.3,83.3
"Pittsylvania County Public Schools","White","Gretna High",85.4,86.4
"Pittsylvania County Public Schools","All Students","Tunstall High",88.3,88.3
"Pittsylvania County Public Schools","Black","Tunstall High",87.5,87.5
"Pittsylvania County Public Schools","Economically Disadvantaged","Tunstall High",80.5,80.5
"Pittsylvania County Public Schools","Female","Tunstall High",88.5,88.5
"Pittsylvania County Public Schools","Hispanic","Tunstall High",90,90
"Pittsylvania County Public Schools","Male","Tunstall High",88.2,88.2
"Pittsylvania County Public Schools","Students with Disabilities","Tunstall High",71.9,71.9
"Pittsylvania County Public Schools","White","Tunstall High",88.2,88.2
"Poquoson City Public Schools","All Students","Poquoson High",95,96.2
"Poquoson City Public Schools","Economically Disadvantaged","Poquoson High",95,95
"Poquoson City Public Schools","Female","Poquoson High",96.1,96.1
"Poquoson City Public Schools","Male","Poquoson High",94,96.4
"Poquoson City Public Schools","Military Connected","Poquoson High",100,100
"Poquoson City Public Schools","Students with Disabilities","Poquoson High",90.9,90.9
"Poquoson City Public Schools","White","Poquoson High",95.7,96.4
"Portsmouth City Public Schools","All Students","Churchland High",95.3,95.8
"Portsmouth City Public Schools","Black","Churchland High",94.9,95.3
"Portsmouth City Public Schools","Economically Disadvantaged","Churchland High",96.2,96.2
"Portsmouth City Public Schools","Female","Churchland High",97,97
"Portsmouth City Public Schools","Hispanic","Churchland High",100,100
"Portsmouth City Public Schools","Male","Churchland High",93.6,94.6
"Portsmouth City Public Schools","Multiple Races","Churchland High",100,100
"Portsmouth City Public Schools","Students with Disabilities","Churchland High",98,98
"Portsmouth City Public Schools","White","Churchland High",94.1,95.3
"Portsmouth City Public Schools","All Students","I.C. Norcom High",85.8,87
"Portsmouth City Public Schools","Black","I.C. Norcom High",86.2,87
"Portsmouth City Public Schools","Economically Disadvantaged","I.C. Norcom High",89.2,89.8
"Portsmouth City Public Schools","Female","I.C. Norcom High",90.3,90.3
"Portsmouth City Public Schools","Male","I.C. Norcom High",81.1,83.5
"Portsmouth City Public Schools","Students with Disabilities","I.C. Norcom High",90.6,90.6
"Portsmouth City Public Schools","All Students","Manor High",86.1,89.8
"Portsmouth City Public Schools","Black","Manor High",86.5,88
"Portsmouth City Public Schools","Economically Disadvantaged","Manor High",92.2,94.1
"Portsmouth City Public Schools","Female","Manor High",87.2,90.9
"Portsmouth City Public Schools","Hispanic","Manor High",84.2,94.7
"Portsmouth City Public Schools","Male","Manor High",85.1,88.7
"Portsmouth City Public Schools","Students with Disabilities","Manor High",97.4,100
"Portsmouth City Public Schools","White","Manor High",86.3,93.7
"Powhatan County Public Schools","All Students","Powhatan High",95.4,98
"Powhatan County Public Schools","Black","Powhatan High",100,100
"Powhatan County Public Schools","Economically Disadvantaged","Powhatan High",89.7,94.9
"Powhatan County Public Schools","Female","Powhatan High",98.3,99.4
"Powhatan County Public Schools","Male","Powhatan High",92.4,96.5
"Powhatan County Public Schools","Multiple Races","Powhatan High",90.9,90.9
"Powhatan County Public Schools","Students with Disabilities","Powhatan High",90.5,95.2
"Powhatan County Public Schools","White","Powhatan High",95.3,98
"Prince Edward County Public Schools","All Students","Prince Edward County High",85.9,86.5
"Prince Edward County Public Schools","Black","Prince Edward County High",88.4,89.5
"Prince Edward County Public Schools","Economically Disadvantaged","Prince Edward County High",92.4,93.7
"Prince Edward County Public Schools","Female","Prince Edward County High",90,90
"Prince Edward County Public Schools","Male","Prince Edward County High",81.6,82.9
"Prince Edward County Public Schools","Students with Disabilities","Prince Edward County High",80,80
"Prince Edward County Public Schools","White","Prince Edward County High",83.1,83.1
"Prince George County Public Schools","All Students","Prince George High",94,94.9
"Prince George County Public Schools","Black","Prince George High",92.8,93.5
"Prince George County Public Schools","Economically Disadvantaged","Prince George High",94.2,94.2
"Prince George County Public Schools","Female","Prince George High",94.9,94.9
"Prince George County Public Schools","Hispanic","Prince George High",92.3,92.3
"Prince George County Public Schools","Male","Prince George High",93.1,95
